,sampateny,lettre
haingy,"haingihaingy, mihaingy, tafahaingy",H
haingihaingy,"fihaingihaingy, mahahaingihaingy, mihaingihaingy, mpihaingihaingy, tafahaingihaingy",H
haingo,"ampihaingoana, haingolava",H
haingo,"ahaingo, fampihaingoana, fanaingo, fanaingoana, fihaingo, fihaingoana, haingohaingo, haingoina, ihaingoana, mahahaingo, mampihaingo, manaingo, mihaingo, mpihaingo, voahaingo",H
haino,"ahaino, fihaino, fihainoana, hainohaino, hainoina, ihainoana, mahahaino, mampihaino, mifampihaino, mihaino, mpihaino, tafahaino, voahaino",H
hainohaino,mihainohaino,H
haitantara,mpahaitantara,H
haitra,"haitraitra, mihaitra",H
haitraitra,"ahaitraitra, fihaitrairana, fihaitraitra, haitrairina, ihaitrairana, mahahaitraitra, mihaitraitra, mpihaitraitra, voahaitraitra",H
haja,"anajana, fanaja, fanajana, fifañaja, fihaja, hajaina, ifanajana, mampañaja, mampihaja, manaja, mifañaja, mihaja, mpanaja, mpihaja, pihaja, voahaja",H
hajare,"mahahajare, mampañajare, mañajare, mihajare, pihajare, voahajare",H
hajary,"mañajary, manajary, manajary",H
hajary,"anajariana, fanajary, fanajariana, hajarina, mahajary, mampanajary, mampifanajary, mifanajary, mpanajary, voahajary",H
hajo,"mampañajo, mañajo, pañajo",H
haka,"mañaka, mihaka",H
haka,"fangaka, fangaka, mangagaka, mangaka",H
hakaka,mihakaka,H
hake,"fihaka, fihake, mahahake, mampihake, mihake, pihake",H
hako,"hakohako, mampihako, mifampihako, mihako",H
hakohako,"fihakobakoana, fihakohako, fihakohakoana, ihakohakoana, mahahakohako, mampihakohako, mifampihakohako, mihakohako, mpihakohako",H
hala,ifankahalana,H
hala,"ankahalaina, ankahalana, fankahala, fankahalana, fifankahalalana, mañahala, manala, mankahala, mifañahala, mifankahala, mpankahala, voahala",H
halady,"analadiana, fanalady, fanaladiana, haladina, mahahalady, manalady, mpanalady, voahalady",H
halahala,"mihalahala, mihalahala",H
halahala,"fangalahala, mangalahala",H
halahala,ihalahalana,H
halaka,"analahana, halahina, manalaka, mihalaka, voahalaka",H
halaka,"fihalahana, halakalaka, ihalahana, mampihalaka, mifampihalaka",H
halakalaka,"analakalahana, fanalakalahana, fanalakalaka, fihalakalaka, halakalahina, mahahalakalaka, manalakalaka, mihalakalaka, mpihalakalaka, tafahalakalaka, voahalakalaka",H
halala,"halalaina, mankahalala",H
halamanjana,ankalamanjana,H
halana,"analanana, mahahalana, manalana",H
halana,"ahalana, fihalana, fihalanana, halanana, halankalana, ihalanana, mahalana, mihalana, mpihalana, voahalana",H
halangalana,halangalanana,H
halangalana,"analangalanana, fanalangalana, fanalangalanana, fihalangalana, fihalangalanana, halangalanina, ihalangalanana, manalangalana, mihalangalana, mpanalangalana, mpanalengalana, tafahalangalana, voahalangalana",H
halankalana,mahalankalana,H
halatra,halavitina,H
halatra,"angalarana, angalarina, fangalarana, fangalarina, fangalatra, mangalatra, mpangalatra",H
halatse,"mampangalatse, mangalatse, mifangalatse, pangalatse",H
hale,"fangale, mahahale, mampañale, mampihale, mihale, mihamihale, pañale, pihale, voahale",H
halino,"mañaliño, mifañaliño, pañaliño, pihaliño",H
halo,"halohalo, mihalo, mihalo",H
halo,"mampihalo, pihalo",H
halohalo,"ahalohalo, fihalohalo, fihalohaloana, ihalohaloana, mihalohalo, mpihalohalo, tafahalohalo, voahalohalo",H
halontralona,"fihalontralona, fihalontralonana, ihalontralonana, mihalontralona, mpihalontralona",H
halôtra,"mañalôtra, mañalôtra",H
halotra,"ahalotra, fihalorana, fihalotra, halorina, halotralotra, ihalorana, mahahalotra, mampihalotra, mifampihalotra, mihalotra, mpihalotra, voahalotra",H
hamara,"fahamara, fahamarana",H
hamatra,"anamarana, fanamarana, fanamatra, hamarana, hamarina, manamatra, mpanamatra, voahamatra",H
hamba,"hambahamba, mampañamba, pañamba, voahamba",H
hambahamba,"ahambahamba, anambahambana, fanambahamba, fanambahambana, fihambahamba, fihambahambana, hambahambaina, homambahamba, ihambahambana, manambahamba, mihambahamba, mpanambahamba, mpihambahamba, tafahambahamba, voahambahamba",H
hambo,"fihambo, fihamboana, hambohambo, hamboina, ihamboana, mahahambo, mihambo, mpihambo, voahambo",H
hambohambo,mihambohambo,H
hamena,hamenaina,H
hamy,"anamamiana, ankamamiana, fanamamiana, fankamamy, hamamina, mahahamy, mahamamy, manamy, mankamamy, mihamamy, mpankamamy",H
hamy,"anamaniana, ankamamina, fanahamy, fankamamiana, hamamy, hamamiana, mamy, mampankahamy, mampifankahamy, mifankahamy, mpanahamy",H
hamina,"fihamina, fihaminana, haminkamina, ihaminana, mahahamina, mihamina, mpihamina",H
haminkamina,"fihaminkaminana, mihaminkamina",H
haminkamina,fihaminkamina,H
hamo,pimamo,H
hamo,"hamohamo, mamo",H
hamohamo,manamohamo,H
hamoka,"fihamohana, fihamoka, hamokamoka, ihamohana, mahahamoka, mihamoka, mpihamoka",H
hamomoka,fahamomoka,H
hamory,"anamoriana, fanamory, fanamoriana, hamorina, manamory, mpanamory",H
hampitra,"fihampitra, mihampitra",H
hana,"fihana, fihana, ihanàna, mihana, mihana",H
hana,"ampananana, ananana, fampananàna, fananana, fihanana, hanaina, mahahana, mampanana, mampihana, manana, mpampanàna, mpanàna, mpihana, tafahana, voahana",H
hana,"hanina, hinana, homana",H
hañahaña,"ampihañahaña, fahañahaña, fampihañahaña, mampihañahaña, pihañahaña, voahañahaña",H
hanaka,"ahanaka, fihanahana, fihanaka, hanakanaka, ihanahana, mananaka, mihanaka, mpihanaka, tafahanaka, voahanaka",H
hanana,"hananganana, manganana",H
hananganana,mangananganana,H
hanankanana,"ahanankanana, fihanankanana, mampihanankanana, mihanankanana, tafahanankanana",H
handatra,handatrandatra,H
handitra,"hamanditra, manditra",H
handrina,"ahandrina, anandrinana, fanandrina, fanandrinana, fihandrina, fihandrinana, handrinina, ihandrinana, mahandrina, manandrina, manandrinkandrina, mihandrina, mpanandrina, mpihandrina, tafahandrina, voahandrina",H
handrina,"handrikandrina, mampanandrina, mampifanandrina, mifanandrina",H
handrina,handrinkandrina,H
handro,"fahandro, fahandro, handrony, nahandro",H
handro,"ahandroana, ahandroina, andrahoana, andrahoina, fahandroana, fandrahoana, handrohandro, handroina, mahahandro, mahandro, mpahandro, nahandro, voahandro",H
handro,mihandro,H
handrohandro,"ahandrohandro, fihandrohandro, fihandrohandroana, ihandrohandroana, mihandrohandro, mpihandrohandro, tafahandrohandro",H
handrona,"ahandrony, fanandronana",H
handrona,"ahandrona, ampihandronana, fampihandrona, fampihandronana, fihandrona, fihandronana, handronandrona, ihandronana, mahahandrona, mampihandrona, mihandrona, mpampihandrona, mpihandrona",H
handrotra,"fandrotra, mifandrotra",H
handrotra,"ahandrotra, famandrotra, fifandrotra, ifandrotana, mpifandrotra",H
hane,"kihane, mahamane, mane",H
hangitry,mangitry,H
hany,fohany,H
hanihany,kihanihany,H
hanihany,"ananihaniana, fananihany, fananihaniana, fanganihany, fihanihany, fihanihaniana, hanihanina, ihanihaniana, mahahanihany, mampihanihany, mananihany, manganihany, mifampihanihany, mihanihany, mpananihany, mpihanihany, tafahanihany, voahanihany",H
hanina,fahamanina,H
hanina,"haninina, mahamanina, manina",H
hanitra,voahanitra,H
hanitra,"anamanirana, fanamanirana, fanamanitra, hanirina, mahamanitra, manamanitra, manimanitra, manitra, mihamanitra, mpanamanitra",H
hanitse,"mahamañitse, mañamañitse, mañitse, mihamañitse",H
hanja,hanjahanja,H
hanjahanja,"ahanjahanja, fihanjahanja, fihanjahanjana, ihanjahanjana, mahahanjahanja, mihanjahanja, mpihanjahanja, tafahanjahanja, voahanjahanja",H
hanjahanja,mananjahanja,H
hanjaka,"fihanjahana, mihanjaka",H
hanjo,"mampihanjo, mihanjo, pihanjo",H
hanohano,"fanganohano, fanganohanoana, mampanganohano",H
hanohano,"anganohanoana, manganohano, mpanganohano",H
hanta,mananta,H
hanta,"ahanta, ampihanta, ampihantaina, ampihantana, fampihanta, fampihantàna, fihanta, fihantana, hantahanta, hantaina, ihantana, mahahanta, mampihanta, mihamihanta, mihanta, mpampihanta, mpihanta, pihanta, tafahanta, voahanta",H
hantahanta,mihantahanta,H
hantahanta,fihantahantana,H
hanto,"ahanto, fahanto, mahahanto, mampihanto, mihanto, pañanto, pihanto, voahanto",H
hantona,"ampihantonana, mampihantona",H
hantona,"ahantona, anantonana, fanantona, fanantonana, fihantona, fihantonana, hantonkantona, ihantonana, mahahantona, manantona, mihantona, mpanantona, mpihantona, tafahantona, voahantona",H
hantoñe,"ahantoñe, hantokantoñe, mihantoñe",H
hantsy,"ahantsy, fihantsy, fihantsiana, hamantsy, hantsihantsy, hantsina, ihantsiana, mahahantsy, mahamantsy, mampihantsy, manantsy, mifampihantsy, mihamantsy, mihantsy, mpihantsy, pimantsy, voahantsy",H
hantsika,"ahantsika, anantsihana, fanantsihana, fanantsika, fihantsihana, fihantsika, hantsikantsika, ihantsihana, mahahantsika, manantsika, mihantsika, mpanantsika, mpihantsika, tafahantsika, voahantsika",H
hantsina,"anantsinana, fanamantaina, manantsina",H
hantsina,"anamantsinana, fanamantsinana, hantsinina, mahamantsina, manamantsina, mankamantsina, mantsimantaina, mantsina, mpanamantsina",H
hao,"ahao, mampihao, mifampihao, mihao, pihao",H
haody,"haodihaody, mihaody",H
haody,haodiana,H
haodihaody,mampihaodihaody,H
haodihaody,"fihaodihaody, fihaodihaodiana, ihaodihaodiana, mahahaodihaody, mihaodihaody, mpihaodihaody",H
haoka,"fangaoka, fangaoka, fangaoka, fangaoka",H
haoka,"mangaoka, mpangaoka",H
haoka,"haokaoka, mihaoka",H
haokaoka,mihaokaoka,H
haolo,haolohaolo,H
haolohaolo,mihaolohaolo,H
haona,"ihaonana, mihaona, vaohaona",H
haona,"ahaona, fihaona, fihaonana, haonkaona, mahahaona, mampihaona, mpihaona, tafahaona, voahaona",H
haotra,ahaotra,H
haotra,"fihaorana, fihaotra, haorina, haotraotra, hatraorina, ihaorana, mihaotra, voahaotra",H
haotraotra,"haotraorina, mihaotraotra",H
haotry,mihaotry,H
haotse,"ahaotse, mahahaotse, mampihaotse, mañaotse, mifampihaotse, mifañaotse, mihaotse, pañaotse, pifampihaotse, pifañaotse, pihaotse, voahaotse",H
hapakapaka,"hapakapahina, mihapakapaka",H
hapintsana,"fahapintsana, hapintsampintsana",H
hapoka,mihapoka,H
hara,harahara,H
haraby,manaraby,H
haraby,"anarabiana, fanaraby, fanarabiana, harabina, harabiraby, mahaharaby, mpanaraby, voaharaby",H
harafana,karafana,H
harafesina,mihaharafesina,H
harafesina,"harafesenina, mahaharafesina",H
harahara,mangarahara,H
harahara,miharahara,H
haraka,fiharaka,H
haraka,"angarahana, fangarahana, fangaraka, harahana, mahaharaka, mangaraka, mpangaraka, voaharaka",H
haraka,"fiharahana, harahina, miharaka, mpiharaka",H
haramaky,miharamaky,H
harana,"fiharana, fimiharana, manankarana, miankarana",H
harana,"fiharanana, haranina, iharanana, miharana",H
harana,mangarana,H
harangarana,fanarangarana,H
harangarana,"anarangaranana, fanarangaranana, harangaranina, mahaharangarana, manarangarana, mangarangarana, mpanarangarana, tafaharangarana, voaharangarana",H
hararaotra,hararaotana,H
hararaotra,"anararaotana, fanararaotana, fanararaotra, hararaotina, manararaotra, voahararaotra",H
hararaotse,"mampañararaotse, mañararaotse, pañararaotse",H
hararetra,"fihararetra, mihararetra",H
hararo,hararoana,H
hararo,"anararoana, fanararo, fanararoana, hararoina, manararo, mpanararo, voahararo",H
harato,"haratoina, haratoina, manarato, manarato",H
harato,"anaratoana, fanarato, fanaratoana, haratoana, haratovina, mahaharato, mpanarato, voaharato",H
haratra,fanaratra,H
haratra,"aharatra, anaratana, fanaratana, fiharatana, harasana, haratana, iharatana, mahaharatra, manaratra, miharatra, mpanaratra, mpiharatra, voaharatra",H
haratry,miharatry,H
haratsaka,"aharatsaka, anaratsahana, fanaratsahana, fanaratsaka, haratsadratsaka, haratsahana, karatsaka, mahaharatsaka, manaratsaka, mpanaratsaka, voaharatsaka",H
haratse,"aharatse, mahaharatse, mampiharatse, mañaratse, mifañaratse, pañaratse, pifañaratse, piharatse, voaharatse",H
haratsy,fampiharatsy,H
hare,"ampihare, mahahare, mampihare, mihare, pihare, voahare",H
harendrina,"fanarendrina, manarendrina",H
hary,"fihary, fihary, fihary, fihary, hinary, voahary",H
hary,"fiharena, fihariana, harena, harina, ihariana, mahahary, mihary, mpihary",H
harihary,"aharihary, ampiharihar&igrave;na, fiharihary, fiharihariana, iharihariana, mahaharihary, mampiharihary, miharihary, mpiharihary, tafaharihary, voaharihary",H
harika,"angarihana, fangarihana, fangarika, harihina, harikarika, mahaharika, mangarika, mpangarika, voaharika",H
harikivy,amparikivina,H
harina,"angarinana, fangarina, fangarinana, harinina, mangarina, mpangarina, voaharina",H
harinarina,miharinarina,H
haringarina,miharingarina,H
haritra,miharitra,H
hariva,"fanarivàna, mihahariva, mihariva",H
hariva,"ahariva, anarivana, fanariva, harivaina, harivàna, harivariva, mahahariva, manariva, mpanariva, takariva",H
harivolo,miharivolo,H
haro,"faharo, fifangaro, haroñy, mampañaro, mampangaro, manaro, mangaro, mangaro, mihamiharo, mpifangaro, pangaro, pifangaro, piharo, tafaharo, vaoharo, vaoharo, voaharo",H
haro,"aharo, angaroana, fangaro, fangaroana, fifangaroana, fiharo, fiharoana, haroana, haroharo, haroina, iharoana, mahaharo, miharo, mpiharo",H
haroharo,"fangaroharo, mampiharoharo, mangaroharo",H
haroka,"fangaroka, fangaroka, fiharohana",H
haroka,"aharoka, angarofana, angarohana, fangarofana, fangarohana, fiharofana, fiharoka, harofana, harokaroka, iharofana, mahaharoka, mangaroka, miharoka, mpangaroka, mpiharoka, voaharoka",H
harokaroka,"iharokarofana, miharokaroka",H
haroke,"mampangaroke, mangaroke, pangaroke",H
harona,"aharona, angaronana, fangarona, fangaronana, harongarona, haronina, mahaharona, mangarona, mpangarona, voaharona",H
harongana,haronganina,H
hasy,"fahamasy, fañamasy, fañasy, hasia, mañamasy, pimasy",H
hasihasy,"fangasihasy, fihasihasy, mangasihasy, mihasihasy, mpangasihasy",H
hasina,"anamasinana, anasinana, anasinkasinana, ankamasinana, fanasina, fanasina, fanasina, fanasina, fanasina, fanasina, fanasinana, fankamasina, fihasinana, fihasinana, kamasina, manasina, manasina, manasina, manasinkasina, mpanasina, voamasina",H
hasina,"ahasina, fankahasina, fihasina, hasinina, mahamasina, masina, mihasina, mpanahasina, voahasina",H
hasina,"ahasina, mihasina, voahasina",H
hasina,hasinkasina,H
hasinkasina,mihasinkasina,H
haso,pañaso,H
hasohaso,"ahasohaso, fanasohaso, fanasohasoana, mpanasohaso, voahasohaso",H
hasohaso,mangasohaso,H
hasohaso,"anasohasoana, hasohasoina, manasohaso",H
hatahitra,fahatahirana,H
hataka,"angatahana, angatahina, fangatahana, fangatahina, fangataka, hatakataka, mahahataka, mangataka, mpangataka, voahataka",H
hataka,"ahataka, fihatahana, fihataka, hatahina, ihatahana, mihataka, mpihataka, tafahataka",H
hatake,"ahatake, fahatake, mampangatake, mampihatake, mangatake, mihamihatake, mihatake, pangatake, pihatake, voahatake",H
hate,"mampañate, mañate, mifañate, mihate, pañate, pifañate, pihate",H
haty,"ahaty, mampañaty, pañaty, pifañaty, pihaty, voahaty",H
hatikatika,mifanatikatika,H
hatina,hatenina,H
hato,mihato,H
hatoka,"anatohana, hatohina, manatoka, manatokatoka",H
hatoka,hatokatoka,H
hatokatoka,"anatokatohana, mihatokatoka",H
hatona,ifanatonana,H
hatona,"anatonana, fanatona, fanatonana, hatonatona, hatonina, mahahatona, manatona, mifanatona, mpanatona, tafahatona, voahatona",H
hatra,"ampiharana, ampiharina, hatramy, manatra, mifanatra",H
hatra,"ahatra, ankaharana, fampiharana, fankaharana, fankahatra, fiharana, fihatra, iharana, mampihatra, mankahatra, mifankahatra, mihatra, mpankahatra, tafahatra, voahatra",H
hatraka,"hatrakatraka, vongatraka",H
hatrakatraka,manatrakatraka,H
hatrakatraka,"mahatrakatraka, mangatrakatraka",H
hatrakatraka,"fihatrakatraka, hatrakatrahina, mihatrakatraka, mpihatrakatraka",H
hatry,mihatratry,H
hatry,"mangatry, matry, mihahatry, mihatry",H
hatrokatroka,"ihatrokatrohana, mihatrokatroka",H
hatsaka,"ahatsaka, anatsahana, fanatsahana, fanatsaka, fihatsahana, fihatsaka, fihatsaka, hatsahana, hatsakatsaka, ihatsahana, mahahatsaka, manatsaka, mihatsaka, voahatsaka",H
hatsakatsaka,mangatsakatsaka,H
hatsy,mihatsy,H
hatsiaka,"ampangatsiahana, ampangatsiahina, angatsiahana, fampangatsiahana, fangatsiahana, fangatsiaka, hatsiatsiaka, mampangatsiaka, mangatsiaka",H
hatsiatsiaka,mangatsiatsiaka,H
hatsieky,"mangatsiatsieky, mangatsieky",H
hatsika,takatsika,H
hatsika,"ahatsika, anatsihana, fanatsihana, fanatsika, hatsihana, hatsihina, manatsika, mihatsika, voahatsika",H
hatsikana,fanatsikana,H
hatsikana,"anatsikanana, fanatsikanana, hatsikanina, manatsikana, mifanatsikana, mpanatsikana",H
hatsivo,"hatsivoina, manatsivo",H
hatso,hatsohatso,H
hatsohatso,mangatsohatso,H
hatsotso,hatsotsobe,H
havana,"ampihavanana, ampihavanina, fampihavanana, fanavana, havangavana, havanina, mahahavangavana, mañavana, manavana, mpanavana, mpanavangavana",H
havana,"fanavanana, fihavana, fihavanana, havankavana, ihavanana, mahahavana, mampihavana, mihavana, mpihavana, tafahavana, voahavana",H
havana,"ankavana, ifampihavanana",H
havana,anavanana,H
havanana,havanambanana,H
havanana,"ankavanana, kavanana, manavanana, miankavanana",H
havandra,manavandra,H
havangavana,havangavanana,H
havangavana,"anavangavanana, fanavangavana, fanavangavanana, havangavanina, manavangavana, voahavangavana",H
havara,mihavara,H
havatra,havatravatra,H
havatravatra,"fihavatravarana, fihavatravatra, ihavatravarana, mihavatravatra, mpihavatravatra",H
havy,"havihavy, mpihavy",H
havia,miankavia,H
havia,"ankavia, haviavia, haviazina, kavia, manavia",H
haviavia,"kaviavia, manaviavia",H
havihavy,ahavihavy,H
havihavy,"fihavihavy, fihavihaviana, ihavihaviana, mihavihavy",H
havina,mihavina,H
havina,"kavinana, mangavina",H
havina,mavina,H
havingavina,"ahavingavina, fihavingavina, fihavingavinana, havingavinina, ihavingavinana, mahavingavina, mihavingavina, mpihavingavina, tafahavingavina",H
havitra,"havirina, havitina, manavitra",H
havitravitra,"ahavitravitra, fihavitravirana, fihavitravitra, havitravirina, ihavitravirana, mihavitravitra, mpihavitravitra",H
havitsiana,ankavitsiana,H
havoana,ankavoana,H
havoka,"fangavoka, havokavoka, mangavoka, mangavokavoka",H
havokavoka,fanavokavoka,H
havokavoka,"anavokavohana, fanavokavohana, havokavohana, mahahavokavoka, manavokavoka, mpanavokavoka, voahavokavoka",H
haza,"ampihaza, fampihaza, fihaza, fihazana, hazaina, ihazana, mahahaza, mampihaza, mihaza, pihaza, voahaza",H
hazaka,mpihazaka,H
hazaka,hazahina,H
hazakazaka,"ahazakazaka, fihazakazahana, fihazakazaka, hazakazahina, ihazakazahana, mahahazakazaka, manazakazaka, mihazakazaka, mpanazakazaka, mpihazakazaka, tafahazakazaka, voahazakazaka",H
hazana,"hazangazana, mazana",H
hazangazana,"fanazangazana, fanazangazanana",H
hazangazana,"ahazangazana, anazangazanana, hazangazanina, mahazangazana, manazangazana",H
hazary,fanazary,H
hazary,"anazariana, fanazariana, hazarina, hazarizary, manazary, mpanazary, voahazary",H
hazihazy,ihazihaziana,H
hazihazy,"fihazihazy, mihazihazy, mpihazihazy",H
hazingazina,"fihazingazina, mihazingazina",H
hazingaziny,mihazingaziny,H
hazo,"kakazo, mihazo, tankazo",H
hazo,hazohazo,H
hazohazo,voahazona,H
hazohazo,"ahazohazo, fihazohazo, fihazohazoana, ihazohazoana, mahahazohazo, mihazohazo, tafahazohazo",H
hazona,"ahazona, fifangazonana, fihazona, fihazonana, hazonina, hazonkazona, ifangazonana, ihazonana, mahahazona, mifangazona, mihazona, mpihazona, sangazona, tangazona, tazona",H
heatse,mañeatse,H
hebaheba,"hebahebaina, ihebahebana, manebaheba, voahebaheba",H
hebaka,"mangebaka, mangebakebaka",H
heby,"aheby, anebena, hebena, hebiheby, ihebena, maneby, miheby, voaheby",H
hebiheby,"ahebiheby, anebihebena, fanebihebena, fanebiheby, fihebihebena, fihebiheby, hebihebena, ihebihebena, mahahebiheby, manebiheby, mihebiheby, mpihebiheby, tafahebiheby, voahebiheby",H
hebikebika,"fihebikebehana, fihebikebika, ihebikebehana, mangebikebika, mihebikebika, mpihebikebika",H
hebinkebina,mihebinkenina,H
hebinkebina,mihebinkebina,H
hebintrebina,"ahebintrebina, fihebintrebenana, fihebintrebina, ihebintrebenana, mihebintrebina, mpihebintrebina",H
hedrahedra,"anedrahedrana, fanedrahedra, fanedrahedrana, fihedrahedra, fihedrahedrana, ihedrahedrana, mahahedrahedra, manedrahedra, mihedrahedra, mpanedrahedra, mpihedrahedra",H
hefahefa,namefahefa,H
hefahefa,"ahefahefa, anefahefana, fanefahefa, fanefahefana, fihefahefa, fihefahefana, hefahefaina, ihefahefana, mahahefahefa, manefahefa, mihefahefa, mpanefahefa, mpihefahefa, tafahefahefa, voahefahefa",H
hefake,"ahefake, mañefake, mihefake, pañefake, pihefake",H
