,sampateny,lettre
angeso,angesongeso,A
angeso,"angesoina, fiangeso, fiangesoana, iangesoana, miangeso, mpiangeso",A
angy,"manangy, voangy",A
angy,miangy,A
angiangy,"fiangiangy, fiangiangiana, iangiangiana, miangiangy, mpiangiangy",A
angitrangitra,"angitrangirana, angitrangitana, fiangitrangitana, fiangitrangitra, iangitrangitana, miangitrangitra, mpiangitrangitra, tafangitrangitra",A
ango,"mahaango, mihaango",A
angoaiña,mafangoaiña,A
angoango,miangoango,A
angoango,"fiangoango, fiangoangoana, mpiangoango",A
angola,"anangolana, angolaina, angolangola, iangolana, manangola, miangola",A
angolangola,"anangolangolana, manangolangola",A
angoly,"mampanangoly, mampifanangoly, mifanangoly, voangoly",A
angoly,"anangolena, angolena, fanangolena, fanangoly, manangoly, mpanangoly",A
angona,mampiangona,A
angona,"anangonana, angonina, fanangona, fiangona, fiangonana, iangonana, mahangona, mampanangona, mampifanangona, manangona, miangona, mifanangona, mpanangona, mpiangona, tafangona, voangona",A
angongo,anangongoana,A
angongo,"anangongonana, fanangongo, fanangongonana, fiangongo, fiangongoana, iangongoana, manangongo, miangongo, mpanangongo, mpiangongo",A
angontsina,angontsinana,A
angosoly,miangosoly,A
angoty,"angotingoty, fiangoty, fiangotiana, iangotiana, miangoty, mpiangoty",A
angotingoty,"iangotingotiana, miangotingoty",A
angoze,"mahangoze, mampañangoze, miangoze, pañangoze, voangoze",A
any,"ankanesana, mankany",A
any,"ananiana, anina, fananiana, manany, mpanany, voany",A
aniana,"ampianianana, ampianianina, mampianiana, mianiana",A
aniana,"fianiana, fianianana, ianianana, mpianiana",A
aniany,fianiany,A
aniany,"anianiany, mianiany",A
anika,ananihana,A
anika,"anihina, fananihana, fananika, fianihana, fianika, iananihana, ianihana, mahanika, mananika, mianika, mpananika, mpianika, tafanika, voanika",A
anike,"fianike, kianike, mahaanike, mampañanike, mianike, mifañanike, pañanike, pianike, voaanike",A
anina,voampihanina,A
anina,"aninanina, fianina, fianinana, ianinana, mianina, mpianina, tafanina, voanina",A
aninanina,mianinanina,A
anja,"aanja, ampianja, faanja, fampianja, fianja, mahaanja, mampañanja, mampianja, mianja, mifañanja, mihamianja, pañanja, pianja",A
anjady,"fianjady, fianjadiana, ianjadiana, mahanjady, mianjady, mpianjady",A
anjaika,"fianjaika, fianjaikana, ianjaikana, mianjaika, mpianjaika",A
anjaingy,"ananjaingana, anjaingaina, anjaingena, mananjaingy, voanjaingy",A
anjaka,anjakanjaka,A
anjaka,"ananjahana, anjahina, mananjaka",A
anjake,"mampianjake, mianjake, pianjake",A
anjana,anjananjana,A
anjananjana,,A
anjano,"ananjanoana, anjanoina, mananjano",A
anjara,,A
anje,"ampanje, mampanje, manje, mihamanje, panje",A
anjefa,"mankanjefa, miankanjefa",A
anjo,"ampanjo, ampianjo, mampanjo, panjo",A
anjoana,anjoanina,A
anjona,ianjonana,A
anjona,"anjonanjona, mianjona",A
anjonanjona,"aanjonanjona, fianjonanjonana, ianjonanjonana, mahanjonanjona, mianjonanjona, mpianjonanjona",A
anjoro,,A
ankandrefana,"ankandrefanina, fiankandrefana, fiankandrefanana, iankandrefanana, miankandrefana, mpiankandrefana, voaankandrefana",A
ankane,"mahankane, mampiankane, mañankane, mifampiankane, piankane, pifampiankane",A
ankany,miankany,A
anke,faanke,A
ankenjy,"anankenjena, ankenjena, manankenjy",A
anky,mananky,A
anky,"aanky, ankianky, mahaanky, mampianky, mianky, mifampianky, mihamianky, pañanky, pianky, pifampianky",A
ankina,mpampiankina,A
ankina,"aankina, anankinana, ankinankina, ankinina, fanankina, fanankinana, fanankinana, fiankina, fiankinana, iankinana, mahankina, mampanankina, mampifanankina, manankina, miankina, mifanankina, mpanankina, mpiankina, tafankina, voankina",A
anko,"anankoana, ankoina, mananko, mianko",A
ankolatra,"anankolarana, manankolatra",A
ankolatra,ankolarina,A
ano,noina,A
ano,"ananovana, anoina, anovina, manano, mpanano",A
anoano,anoanoana,A
anoano,"kinanonanobe, kinoanoabe",A
anoka,"anohina, ianohana, mianoka",A
anoloana,"mampananoloana, mampifananoloana, mifananoloana",A
anona,"ananona, mananona, mananona, mihañona",A
anona,"ananovana, ananovina, anonovina, fananona, Ianona, mampananona, mampifananona, mifananona, mpananona, voaanona",A
anonanona,mananonanona,A
anonanona,mianonanona,A
anotra,anorina,A
anotra,"fianorana, fianotra, ianorana, mianotra, mpianotra, voanotra",A
